,words,ner,task
22,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '335', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '271', '[', 'K000304', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Пациентка', '52', 'лет', 'страдает', 'железодефицитной', 'анемией', 'и', 'принимает', 'по', 'поводу', 'этого', 'заболевания', 'препараты', 'железа', '(', 'II', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",271
23,"['В', 'связи', 'с', 'обострением', 'хронического', 'пиелонефрита', 'пациентке', 'назначен', 'Ципрофлоксацин', 'по', '250', 'мг', '2', 'раза', 'в', 'сутки', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",271
24,"['Оба', 'препарата', 'больная', 'принимала', 'одновременно', '.']","['O', 'O', 'O', 'O', 'O', 'O']",271
25,"['Через', '5', 'дней', 'от', 'начала', 'приѐма', 'Ципрофлоксацина', 'сохраняется', 'субфебрильная', 'лихорадка', ',', 'поллакиурия', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'PAT-START', 'PAT', 'O', 'PAT-START', 'O']",271
26,"['Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O']",271
27,"['Каковы', 'возможные', 'причины', 'неэффективности', 'антибиотикотерапии', '?']","['O', 'O', 'O', 'O', 'O', 'O']",271
28,"['2', '.', 'Какие', 'исследования', 'необходимо', 'выполнить', 'дополнительно', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",271
29,"['3', '.', 'По', 'данным', 'бактериологического', 'анализа', 'мочи', 'выделена', 'Escherichia', 'coli', ',', 'чувствительная', 'к', 'Ципрофлоксацину', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",271
30,"['С', 'чем', 'связана', 'неэффективность', 'лекарственной', 'терапии', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O']",271
31,"['4', '.', 'Каковы', 'будут', 'Ваши', 'дальнейшие', 'рекомендации', 'по', 'лечению', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",271
