,id,words,ner,task
1,366,"['Клинический', 'анализ', 'крови', ':', 'гемоглобин', '–', '145', 'г', '/', 'л', ';', 'эритроциты', '–', '4,9', '×', '1012', '/', 'л', ';', 'лейкоциты', '7,0', '×', '10', '9', '/', 'л', ';', 'СОЭ', '–', '15', 'мм', '/', 'час', '.']","['O', 'O', 'O', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",291
12,218,"['Одновременно', 'заболело', 'ещѐ', 'несколько', 'учащихся', '.']","['O', 'O', 'O', 'O', 'O', 'O']",282
23,258,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '350', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '286', '[', 'K000358', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'А', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",286
26,120,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '342', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '278', '[', 'K000321', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больной', 'М', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",278
30,758,"['При', 'обследовании', '–', 'выявлены', 'субиктеричность', 'склер', ',', 'пигментные', 'пятна', 'и', 'множественные', 'следы', 'расчѐсов', 'на', 'коже', 'туловища', '.']","['O', 'O', 'O', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",313
31,58,"['Какие', 'осложнения', 'возможны', 'при', 'постоянной', 'форме', 'фибрилляции', 'предсердий', ',', 'и', 'какие', 'меры', 'профилактики', 'должны', 'быть', 'предприняты', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",274
44,312,"['Накануне', 'утром', 'почувствовал', 'недомогание', ',', 'появились', 'неприятные', 'ощущения', 'в', 'горле', '.']","['O', 'O', 'O', 'PAT', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",289
47,270,"['Предположите', 'наиболее', 'вероятный', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",286
53,640,"['При', 'осмотре', 'врачом', 'вновь', 'вызванной', 'скорой', 'медицинской', 'помощи', 'больной', 'лежит', 'на', 'левом', 'боку', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",306
58,323,"['Назовите', 'заболевания', ',', 'с', 'которыми', 'необходимо', 'проводить', 'дифференциальную', 'диагностику', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",289
63,536,"['Язык', 'влажный', ',', 'обложен', 'белым', 'налѐтом', '.']","['PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'O']",300
65,330,"['Объективно', ':', 'повышенного', 'питания', '.']","['O', 'O', 'PAT', 'PAT', 'O']",290
68,596,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '371', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '304', '[', 'K003202', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Больная', 'А', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",304
69,493,"['Клинический', 'анализ', 'крови', ':', 'лейкоциты', '–', '10,8', '×', '10', '9', '/', 'л', '.']","['O', 'O', 'O', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",297
72,467,"['На', 'момент', 'осмотра', 'пациент', 'получает', ':', '-', 'Верошпирон', '25', 'мг', '1', 'раз', 'в', 'день', ';', '-', 'Бисопролол', '5', 'мг', '1', 'раз', 'в', 'сутки', ';', '-', 'Аторвастатин', '40', 'мг', 'вечером', ';', '-', 'Дигоксин', '0,125', 'мг', '1', 'раз', 'в', 'день', ';', '-', 'Варфарин', '5', 'мг', '1', 'раза', 'в', 'день', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",295
75,638,"['Вызванной', 'бригадой', 'скорой', 'медицинской', 'помощи', 'диагностирован', 'острый', 'гастрит', ',', 'введены', 'анальгетики', 'и', 'спазмолитики', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",306
79,20,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '335', 'СИТУАЦИОННАЯ', 'ЗАДАЧА', '271', '[', 'K000304', ']', 'Инструкция', ':', 'ОЗНАКОМЬТЕСЬ', 'С', 'СИТУАЦИЕЙ', 'И', 'ДАЙТЕ', 'РАЗВЕРНУТЫЕ', 'ОТВЕТЫ', 'НА', 'ВОПРОСЫ', 'Основная', 'часть', 'Пациентка', '52', 'лет', 'страдает', 'железодефицитной', 'анемией', 'и', 'принимает', 'по', 'поводу', 'этого', 'заболевания', 'препараты', 'железа', '(', 'II', ')', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",271
81,424,"['Признаки', 'гипертрофии', 'левого', 'желудочка', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'O']",293
85,136,"['Пульс', '–', '64', 'уд', '/', 'мин', ',', 'АД', '–', '100', '/', '60', 'мм', 'рт', '.']","['PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT']",278
93,148,"['32', 'года', ',', 'бизнесмен', ',', 'госпитализирован', 'на', '2', 'день', 'болезни', 'с', 'диагнозом', '«', 'грипп', ',', 'гипертоксическая', 'форма', '»', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",279
105,94,"['Обоснуйте', 'поставленный', 'Вами', 'диагноз', '.']","['O', 'O', 'O', 'O', 'O']",276
106,304,"['Моча', 'тѐмно-коричневого', 'цвета', ',', 'кал', 'серый', '.']","['PAT', 'PAT', 'PAT', 'O', 'PAT', 'PAT', 'O']",288
107,548,"['При', 'обследовании', 'в', 'лѐгких', 'дыхание', 'везикулярное', ',', 'хрипов', 'нет', ',', 'ЧДД', '–', '18', 'в', 'мин', '.']","['O', 'O', 'O', 'O', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'O', 'PHY', 'PHY', 'PHY', 'PHY', 'PHY', 'O']",301
112,224,"['В', 'области', 'правой', 'щеки', 'имеется', 'разлитая', 'гиперемия', 'кожи', 'с', 'неправильными', 'контурами', ',', 'возникшая', 'впервые', '.']","['PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O', 'O', 'O', 'O']",283
117,44,"['По', 'поводу', 'ИБС', 'начал', 'получать', 'Метопролол', 'по', '25', 'мг', '2', 'раза', 'в', 'день', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",273
142,428,"['СЗ_Лечебное', 'дело', '(', 'ч', '.4', ')', '–', '2017', '359', 'Вопросы', ':', '1', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",293
143,296,"['Три', 'месяца', 'назад', 'лечился', 'в', 'неврологическом', 'отделении', 'по', 'поводу', 'функционального', 'расстройства', 'нервной', 'системы', ',', 'получал', 'лекарства', 'в', 'виде', 'таблеток', 'подкожных', 'и', 'внутривенных', 'инъекций', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",288
149,592,"['Какие', 'методы', 'исследования', 'необходимы', 'в', 'данном', 'случае', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",303
157,206,"['Назовите', 'заболевания', ',', 'с', 'которыми', 'необходимо', 'провести', 'дифференциальную', 'диагностику', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",281
169,567,"['Дыхание', 'везикулярное', ',', 'хрипов', 'нет', '.']","['PHY', 'PHY', 'O', 'PHY', 'PHY', 'O']",302
170,514,"['Указать', 'основного', 'возбудителя', 'заболевания', '.']","['O', 'O', 'O', 'O', 'O']",298
174,750,"['Какие', 'методы', 'исследования', 'необходимы', 'в', 'данном', 'случае', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",312
177,400,"['Составьте', 'и', 'обоснуйте', 'план', 'дополнительного', 'обследования', 'пациента', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",292
180,633,"['С', 'какими', 'заболеваниями', 'следует', 'провести', 'дифференциальный', 'диагноз', '?']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']",305
184,313,"['Измерил', 'температуру', 'тела', '–', '37,6', '°', 'С', '.']","['O', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'PAT', 'O']",289
