st_pos;end_pos;text;label
0;71;СЗ_Лечебное дело ( ч .4 ) – 2017 334 СИТУАЦИОННЫЕ ЗАДАЧИ ( часть 4 ) для первичной аккредитации выпускников , завершающих в 2017 году подготовку по образовательной программе высшего медицинского образования в соответствии с федеральным государственным образовательным стандартом по специальности « Лечебное дело » СИТУАЦИОННАЯ ЗАДАЧА 270 [ K000058 ] Инструкция : ОЗНАКОМЬТЕСЬ С СИТУАЦИЕЙ И ДАЙТЕ РАЗВЕРНУТЫЕ ОТВЕТЫ НА ВОПРОСЫ Основная часть Больная 39 лет обратилась в поликлинику с жалобами на ;_
72;76;боли в горле при глотании ;патологический признак[1]
77;77;, ;_
78;78;першение ;патологический признак
79;79;, ;_
80;85;повышение температуры тела до 37,5 ºС ;патологический признак[2]
86;94;. Больна в течение 3 дней . Объективно : ;_
95;103;слизистая оболочка нѐбных миндалин и передних нѐбных дужек гиперемирована ;патологический признак[3]
104;104;. ;_
105;109;Нѐбные миндалины I степени гипертрофии ;патологический признак[4]
110;110;, ;_
111;122;покрыты налѐтом беловатого цвета , легко снимающимся , налѐт растирается между шпателями ;патологический признак[5]
123;123;. ;_
124;128;Задняя стенка глотки умеренно гиперемирована ;патологический признак[6]
129;133;. В анализе крови : ;_
134;141;лейкоциты  13,5 × 10 9 / л ;патологический признак[7]
142;142;, ;_
143;150;эритроциты  3,9 × 10 12 / л ;физиологический признак[8]
151;151;, ;_
152;157;Нb - 121 г / л ;физиологический признак[9]
158;158;, ;_
159;161;палочкоядерные  8% ;патологический признак[10]
162;162;, ;_
163;165;сегментоядерные  62% ;физиологический признак[11]
166;166;, ;_
167;169;лимфоциты  26% ;физиологический признак[12]
170;170;, ;_
171;173;моноциты  2% ;физиологический признак[13]
174;174;, ;_
175;177;эозинофилы  2% ;физиологический признак[14]
178;178;, ;_
179;184;СОЭ  25 мм / час ;патологический признак[15]
185;212;. Вопросы : 1 . Предположите наиболее вероятный диагноз . 2 . Обоснуйте поставленный Вами диагноз . 3 . Через 2 дня у данной больной усилились жалобы на ;_
213;222;боль в горле , больше при глотании , больше справа ;патологический признак[16]
223;224;, появилась ;_
225;228;боль в правом ухе ;патологический признак[17]
229;229;, ;_
230;236;затруднение при глотании и при открывании рта ;патологический признак[18]
237;237;, ;_
238;239;общее недомогание ;патологический признак[19]
240;242;. Объективно : ;_
243;245;температура 38,5 ºС ;патологический признак[20]
246;246;. ;_
247;250;Голос имеет гнусавый оттенок ;патологический признак[21]
251;251;, ;_
252;254;открывание рта затруднено ;патологический признак[22]
255;255;. ;_
256;261;В глотке определяется гиперемия слизистой оболочки ;патологический признак[23]
262;262;, ;_
263;266;инфильтрация паратонзиллярной области справа ;патологический признак[24]
267;267;, ;_
268;275;асимметрия зева за счѐт смещения правой миндалин медиально ;патологический признак[25]
276;276;. ;_
277;283;Язычок резко отѐчен и смещѐн несколько влево ;патологический признак[26]
284;284;. ;_
285;288;Подчелюстные лимфоузлы справа уплотнены ;патологический признак[27]
289;289;, ;_
290;290;увеличены ;патологический признак
291;291;и ;_
292;292;болезненны ;патологический признак
293;421;. Как вы можете оценить подобную ситуацию ? Поставьте диагноз и обоснуйте . 4 . Какие методы диагностики необходимо провести ? 5 . Поставьте диагноз в соответствии с МКБ .10 J03.0 Стрептококковый тонзиллит . J03.8 Острый тонзиллит , вызванный другими уточненными возбудителями . J03.9 Острый тонзиллит неуточненный . J36 Перитонзиллярный абсцесс . СЗ_Лечебное дело ( ч .4 ) – 2017 335 СИТУАЦИОННАЯ ЗАДАЧА 271 [ K000304 ] Инструкция : ОЗНАКОМЬТЕСЬ С СИТУАЦИЕЙ И ДАЙТЕ РАЗВЕРНУТЫЕ ОТВЕТЫ НА ВОПРОСЫ Основная часть Пациентка 52 лет страдает железодефицитной анемией и принимает по поводу этого заболевания препараты железа ( II ) . В связи с обострением хронического пиелонефрита пациентке назначен Ципрофлоксацин по 250 мг 2 раза в сутки . Оба препарата больная принимала одновременно . Через 5 дней от начала приѐма Ципрофлоксацина сохраняется ;_
422;423;субфебрильная лихорадка ;патологический признак[28]
424;424;, ;_
425;425;поллакиурия ;патологический признак
426;528;. Вопросы : 1 . Каковы возможные причины неэффективности антибиотикотерапии ? 2 . Какие исследования необходимо выполнить дополнительно ? 3 . По данным бактериологического анализа мочи выделена Escherichia coli , чувствительная к Ципрофлоксацину . С чем связана неэффективность лекарственной терапии ? 4 . Каковы будут Ваши дальнейшие рекомендации по лечению ? 5 . Какова длительность приѐма препаратов железа ? СЗ_Лечебное дело ( ч .4 ) – 2017 336 СИТУАЦИОННАЯ ЗАДАЧА 272 [ K000307 ] Инструкция : ОЗНАКОМЬТЕСЬ С СИТУАЦИЕЙ И ДАЙТЕ РАЗВЕРНУТЫЕ ОТВЕТЫ НА ВОПРОСЫ Основная часть У больной 35 лет , находившейся на лечении в урологическом отделении по поводу мочекаменной болезни , ;_
529;533;повысилась температура до 39 ºС ;патологический признак[29]
534;534;, ;_
535;535;озноб ;патологический признак
536;536;, ;_
537;540;симптом поколачивания резко положительный ;патологический признак[30]
541;541;. ;_
542;549;В общем анализе мочи признаки инфекции мочевых путей ;патологический признак[31]
550;773;. Поставлен диагноз « острый пиелонефрит » на фоне мочекаменной болезни , в баклабораторию отправлен материал для посева . Вопросы : 1 . Препарат какой группы антибактериальных химиотерапевтических средств Вы бы рекомендовали пациентке ? Обоснуйте свой выбор 2 . Через 2 дня антибиотикотерапии клинический эффект незначительный , бактериологически выяснено , что кишечная палочка – продуцент ß-лактамаз расширенного спектра , разрушающего все пенициллины и цефалоспорины . Предложите выбор антибиотика . 3 . Данные бактериологического анализа показали чувствительность кишечной палочки к Имипенему и Меропенему . Какой из них назначить больной ? 4 . На 4 день применения Меропенема появилась крапивница , отѐк Квинке , в связи с чем препарат отменѐн . Предложите замену препарата . 5 . Какой длительности должен быть курс антибиотикотерапии при осложнѐнном пиелонефрите ? СЗ_Лечебное дело ( ч .4 ) – 2017 337 СИТУАЦИОННАЯ ЗАДАЧА 273 [ K000309 ] Инструкция : ОЗНАКОМЬТЕСЬ С СИТУАЦИЕЙ И ДАЙТЕ РАЗВЕРНУТЫЕ ОТВЕТЫ НА ВОПРОСЫ Основная часть Больному 52 лет поставлен диагноз « ишемическая болезнь сердца ( ИБС ) , стенокардия напряжения стабильная , ФК II » . С 30 лет страдает атопической бронхиальной астмой средней тяжести . В качестве базисной терапии получает Серетид ингаляционно . Приступы астмы купируются Сальбутамолом . По поводу ИБС начал получать Метопролол по 25 мг 2 раза в день . На второй день начала приѐма Метопролола у больного участились приступы астмы , наблюдается ;_
774;778;снижение пиковой объѐмной скорости выдоха ;патологический признак[32]
779;898;. Вопросы : 1 . Предположите причину учащения приступов астмы и снижения пиковой скорости выдоха . 2 . Предположите альтернативные антиангинальные препараты в данной ситуации . 3 . Какие нежелательные эффекты может вызвать Верапамил ? 4 . При ЭХО-кардиографии у больного обнаружена фракция выброса 35% . Верапамил отменѐн . Предложите антиангинальную терапию . 5 . Бисопролол также обладает отрицательным инотропным действием , будет ли латентная сердечная недостаточность противопоказанием к применению Бисопролола ? СЗ_Лечебное дело ( ч .4 ) – 2017 338 СИТУАЦИОННАЯ ЗАДАЧА 274 [ K000311 ] Инструкция : ОЗНАКОМЬТЕСЬ С СИТУАЦИЕЙ И ДАЙТЕ РАЗВЕРНУТЫЕ ОТВЕТЫ НА ВОПРОСЫ Основная часть Больной 65 лет с диагнозом « гипертоническая болезнь II степени , ИБС , стенокардия напряжения стабильная , ФК II , ;_
899;899;гиперлипидемия ;патологический признак
900;900;( ;_
901;907;ОХС – 6 ммоль / л , ;патологический признак[33]
908;913;ЛПНП – 4 ммоль / л ;физиологический признак[34]
914;914;, ;_
915;920;ЛПВП – 1,0 ммоль / л ;патологический признак[35]
921;935;) , хроническая сердечная недостаточность ( ХСН ) II стадия , ФК II » . ;_
936;945;АД – 135 / 95 мм рт . ст . ;патологический признак[36]
946;947;, имеется ;_
948;952;фибрилляция предсердий , постоянная форма ;патологический признак[37]
953;953;, ;_
954;959;ЧСЖ – 85 уд / мин ;патологический признак[38]
